id,Term,PosScore,NegScore
0,buồn bã,0.0,0.625
1,không may mắn,0.0,0.875
2,đáng tiếc,0.0,0.875
3,than ôi,0.0,0.875
4,do đó,0.625,0.0
5,không thèm,0.5,0.0
6,bập bõm,0.125,0.5
